treat,age,hisp,black,married,educ,nodegr,re19,re20,re22
1,60,0,1,0,13.0,0,50560,48945,40678
0,54,0,1,0,10.0,0,27964,28059,39553
0,34,0,0,1,8.0,0,20640,19990,43530
0,64,1,0,1,6.8,0,25871,27795,49406
0,59,0,0,0,10.0,0,51207,51594,48898
1,37,0,0,0,9.0,0,40954,42210,39092
1,30,0,0,1,8.0,0,27172,26772,35001
1,49,0,0,0,11.0,0,50011,49540,42731
0,34,1,1,1,10.8,0,32681,31133,45944
0,59,0,0,0,13.0,0,28539,29415,46284
0,30,1,0,0,9.8,1,42779,43930,42288
1,33,1,1,1,12.8,0,40453,39346,42202
0,64,0,1,0,9.0,0,32062,32833,45024
1,55,0,1,0,10.0,0,49325,50309,41468
1,45,1,0,1,7.8,0,43157,43735,39942
1,28,0,0,0,13.0,0,59503,61701,40578
0,37,1,0,1,6.8,0,20009,19884,39354
1,25,0,1,1,9.0,0,41892,42837,45991
0,19,1,0,1,7.8,1,22647,22682,43644
0,41,1,0,1,12.8,0,48429,48323,43084
0,29,0,0,1,7.0,0,21477,19989,32007
0,21,1,0,1,7.8,0,47675,48838,48848
1,31,1,1,1,11.8,0,26026,25382,45712
0,47,1,0,1,8.8,0,27165,27418,43103
0,55,0,0,0,9.0,0,29731,29238,43902
0,62,1,0,0,11.8,0,36443,35973,47320
1,34,1,0,1,11.8,0,52654,52946,38860
1,50,0,0,0,9.0,0,36569,35170,41982
0,46,0,0,0,7.0,0,32943,34285,34209
0,41,1,0,0,6.8,0,27295,28586,36578
0,35,1,1,1,10.8,0,43166,43010,46129
1,44,0,0,0,12.0,0,51965,49307,51752
1,19,1,1,1,9.8,0,45450,45184,44504
1,41,0,0,0,13.0,0,42926,41655,47003
0,39,1,1,0,6.8,0,57463,56523,37550
0,40,0,0,1,10.0,1,30498,28676,40541
1,29,0,0,1,12.0,0,40948,42007,42342
1,48,0,0,1,13.0,0,36329,35398,40209
0,22,0,1,1,8.0,0,28972,27896,42974
1,18,0,0,1,11.0,0,38131,36538,49077
0,41,0,1,0,9.0,0,28939,28969,43560
0,29,0,0,1,7.0,1,27866,28156,40968
0,63,0,1,0,9.0,0,21999,22581,37793
0,18,1,0,1,6.8,0,23289,23970,37990
1,32,0,0,1,10.0,0,54735,55586,36978
1,45,0,1,0,13.0,0,46330,45712,42820
1,20,1,0,1,8.8,0,31792,31415,49518
1,64,0,1,1,10.0,0,24255,25074,43756
0,26,0,0,1,13.0,0,39579,41345,52249
0,42,1,0,0,6.8,1,49096,50871,49795
1,34,0,0,0,11.0,0,59970,60386,47475
1,58,0,0,0,13.0,0,42922,42348,40522
0,31,0,0,0,7.0,0,57882,57864,35379
0,21,1,0,1,12.8,1,57519,57944,45992
0,60,0,0,0,12.0,0,52191,51884,44166
1,39,0,0,0,11.0,0,53873,54589,41151
0,41,0,0,0,12.0,0,44126,43068,40024
0,64,0,1,0,11.0,0,28921,29107,42482
0,64,0,0,0,11.0,0,20016,20334,39476
1,54,0,0,0,7.0,0,58570,57099,37908
1,50,1,0,0,9.8,0,43630,45723,44661
1,49,0,1,0,8.0,0,36857,36518,39450
0,33,0,0,0,11.0,0,21958,21665,45541
1,49,1,0,0,12.8,0,53359,53156,48382
0,27,0,0,1,7.0,1,21961,21984,46624
0,50,0,0,0,8.0,0,38074,39173,48792
1,49,0,0,0,13.0,0,29525,30408,46057
0,57,1,1,1,12.8,0,26565,26816,41394
0,39,0,0,0,13.0,0,59956,60635,39115
1,44,0,0,1,9.0,0,25021,24277,46823
1,33,0,0,1,13.0,0,27864,28549,41151
0,58,1,0,1,10.8,0,23956,26033,47176
1,35,0,1,0,11.0,0,43761,43870,44617
0,63,0,0,1,7.0,0,52430,52380,41747
1,26,0,0,0,7.0,1,20920,20461,47157
0,20,0,0,1,10.0,0,45787,47503,46461
1,35,0,0,0,10.0,0,42401,43561,41350
1,30,0,1,0,7.0,1,48885,48226,46228
1,51,0,1,1,13.0,0,32514,32063,41762
0,37,1,1,0,8.8,0,43970,45181,37827
1,24,0,0,1,9.0,0,40115,40649,44392
0,21,1,1,1,7.8,0,53685,53023,42462
0,36,0,1,1,7.0,0,30803,32221,47736
0,44,0,0,1,11.0,0,54297,55114,43803
0,21,0,1,1,13.0,0,36301,35717,40353
1,20,0,0,1,8.0,0,22619,20943,33696
0,26,1,0,1,10.8,0,34563,34691,39260
1,26,0,1,1,10.0,0,47233,47378,40938
0,63,1,0,1,9.8,0,26260,27465,42970
0,20,1,0,1,6.8,0,35253,35831,39187
1,19,0,0,1,10.0,0,45832,45437,38013
0,50,0,1,0,8.0,1,23430,23668,38671
0,48,0,0,1,12.0,0,42034,43036,42564
1,51,0,0,0,10.0,0,54852,53695,49337
0,51,0,0,1,10.0,0,33848,35079,42079
0,53,1,1,0,11.8,0,31724,31794,46295
1,46,0,1,1,9.0,0,33480,33424,47692
1,20,0,0,1,13.0,0,37936,37716,48812
0,47,0,0,0,11.0,0,47219,47855,40264
0,48,1,1,0,11.8,0,39059,38236,42509
0,26,0,1,1,11.0,0,48898,48745,41981
1,36,1,0,1,9.8,0,40839,40512,39695
1,48,0,1,0,10.0,0,38841,38944,41203
1,46,0,0,1,7.0,0,36113,36044,43084
1,25,1,0,1,8.8,0,42141,43804,42135
0,28,0,0,1,13.0,0,45734,46098,43909
0,38,0,0,1,12.0,0,20702,20774,39847
1,31,0,1,0,10.0,0,23964,25292,35269
1,64,0,1,0,7.0,0,26677,27322,39944
1,58,1,1,0,8.8,0,39465,38634,54229
0,49,0,1,0,9.0,0,33096,33964,37838
1,64,0,0,0,8.0,0,20608,19479,40163
0,34,0,0,0,8.0,1,56877,57056,39847
1,37,1,0,1,11.8,0,40937,40520,42738
0,42,0,0,0,13.0,0,22364,23478,43805
1,62,0,0,0,8.0,0,39351,37917,37050
0,19,1,1,1,6.8,0,34338,33214,46134
1,31,0,0,1,10.0,0,36447,36064,44369
1,38,0,1,0,13.0,0,58843,58990,44754
0,63,1,0,0,8.8,0,48848,48910,45295
1,50,0,0,0,11.0,0,32423,34003,50172
0,41,0,1,0,11.0,0,41293,42057,47738
0,47,0,0,1,10.0,0,46387,46966,43043
1,38,1,0,1,12.8,1,59796,60855,49238
0,40,0,0,1,7.0,0,34499,33594,38083
1,48,0,0,0,7.0,0,49267,50071,43483
1,21,0,1,1,13.0,0,53836,54221,47471
0,62,0,1,0,9.0,0,43727,44051,44917
0,50,0,0,0,11.0,0,58897,57878,43420
1,22,1,0,1,8.8,0,23767,23105,44864
1,54,0,1,0,10.0,0,49881,51074,46460
0,27,1,0,1,12.8,0,20806,20708,43503
1,23,1,1,1,12.8,0,33313,32669,39333
1,40,0,0,0,8.0,0,47074,47107,42928
1,51,0,0,0,11.0,0,25608,25616,50194
1,33,1,1,1,10.8,0,23320,22687,47299
1,25,1,1,1,6.8,0,40924,40820,36697
1,41,0,1,0,9.0,0,36077,34667,44278
1,48,1,0,0,7.8,0,30810,30613,39417
0,41,0,0,0,13.0,0,39424,39515,44231
0,58,0,0,0,7.0,0,48699,49911,39258
1,58,1,1,0,6.8,0,37638,37076,43519
0,48,0,0,1,9.0,1,32646,32918,42288
0,55,1,0,1,12.8,0,45187,46194,48127
1,25,0,0,1,9.0,0,53397,54509,41063
1,34,1,1,1,8.8,0,25428,24589,36508
1,46,1,0,0,6.8,0,33605,31998,49318
0,43,0,0,0,9.0,0,29988,29929,48024
1,53,0,0,1,13.0,0,43314,42318,43615
0,38,1,1,0,10.8,0,34724,35257,43429
0,41,1,0,0,11.8,0,23802,23984,49890
0,26,0,0,0,11.0,0,52110,51411,40850
0,43,0,1,1,11.0,0,38267,37181,38540
1,26,0,1,1,9.0,1,32800,35433,39413
0,38,1,0,0,7.8,1,23409,23507,46821
1,33,0,0,1,7.0,0,39038,38190,44785
1,46,1,0,0,10.8,0,52460,51955,46399
1,28,0,0,1,11.0,0,34573,34003,41801
0,21,1,0,1,11.8,0,20853,20892,39796
0,46,0,0,1,12.0,0,34513,33486,40172
0,47,1,0,1,11.8,0,29381,29788,43319
0,20,0,0,1,7.0,1,20566,20930,42123
0,54,0,1,0,11.0,0,45472,44390,35716
1,38,0,0,1,12.0,0,46885,45498,41308
1,21,0,0,1,9.0,1,35706,36582,39694
1,64,1,1,1,11.8,0,24788,24130,46194
0,32,0,0,1,10.0,0,32474,32258,37413
1,43,0,0,1,13.0,0,49182,50028,41932
1,47,0,0,1,7.0,0,50835,50631,45851
0,49,1,0,0,9.8,0,41473,40650,36586
0,43,0,0,0,7.0,0,40145,40720,46002
0,38,0,0,0,12.0,0,29862,28467,40448
1,31,0,0,1,9.0,1,37450,38832,44216
1,20,0,0,1,7.0,1,37569,38138,37761
1,51,0,1,1,11.0,0,37726,37339,43310
0,59,0,0,0,11.0,0,34682,34387,45910
0,21,1,0,0,9.8,0,54695,54739,41010
0,59,1,1,0,12.8,0,41343,40470,45573
1,63,1,1,0,9.8,0,47350,48024,41895
0,47,0,0,0,12.0,0,52279,52505,42104
1,27,0,0,1,7.0,0,31607,31177,44582
0,62,0,0,0,8.0,0,34425,35851,36246
0,61,0,0,0,10.0,0,58369,56710,38282
0,36,0,1,0,9.0,0,58433,58251,50376
1,39,0,0,1,12.0,0,39428,38414,42791
0,58,0,0,0,10.0,0,49209,49389,43593
0,36,0,1,1,7.0,0,37819,38204,42669
0,58,0,1,0,9.0,0,39851,39719,46760
1,64,1,0,0,12.8,0,50644,50825,47168
1,30,0,0,0,12.0,0,53332,54310,43420
0,40,0,0,0,12.0,0,24165,24355,34190
1,47,0,0,1,7.0,0,21613,19571,35579
1,26,0,0,1,13.0,0,28486,27474,51241
1,57,0,0,0,7.0,0,53215,53662,39567
0,25,0,0,1,11.0,1,32586,31775,41970
0,27,1,1,0,7.8,0,53576,54394,40975
1,52,1,0,1,8.8,0,36435,36448,44691
1,37,1,1,1,9.8,0,29163,29249,44538
0,44,1,1,1,9.8,0,23452,23589,39143
0,45,1,0,0,12.8,0,52387,53694,39419
0,26,0,0,0,13.0,0,23477,23746,43489
1,36,1,0,1,10.8,0,45425,45495,46298
0,28,0,0,1,8.0,0,21881,21660,46026
0,41,0,0,1,8.0,0,59786,56849,36163
0,22,0,1,1,7.0,1,37972,37827,41552
1,48,0,0,1,9.0,0,59584,57950,40842
1,60,0,0,0,12.0,0,55623,55404,45746
0,41,1,1,1,11.8,0,41551,40824,43578
1,63,1,1,0,7.8,0,43059,43421,39810
0,32,1,0,0,10.8,1,54572,54459,35846
0,62,0,0,1,13.0,0,28703,30541,51557
0,40,1,0,1,8.8,1,44490,45679,41420
1,63,1,1,0,7.8,0,21913,22945,43005
0,29,1,0,1,9.8,0,39761,38688,45144
0,25,0,0,1,13.0,0,38484,39319,36202
1,33,0,1,0,8.0,0,57838,57327,44378
1,50,0,0,1,12.0,0,20770,21216,44012
0,26,1,1,0,10.8,0,59042,57145,38069
0,53,0,1,0,8.0,0,25473,25588,45900
1,58,0,0,0,10.0,0,58808,59135,40373
0,34,0,0,1,12.0,0,51386,49990,43318
1,61,0,0,0,8.0,0,52436,52394,35264
1,53,0,0,0,9.0,0,55011,55934,44394
1,25,0,0,1,10.0,1,29481,28683,38256
0,44,0,0,1,9.0,0,51887,53547,40558
0,22,1,0,1,10.8,0,42653,41383,33707
1,19,0,0,1,11.0,0,54026,53107,39255
1,44,0,0,0,10.0,0,46387,47014,48119
0,28,0,1,1,10.0,1,40337,38929,31044
1,24,1,0,1,12.8,0,25374,24936,43327
1,58,0,0,0,7.0,0,32995,31965,46521
0,39,1,0,0,9.8,0,58694,58794,47331
0,27,0,1,0,12.0,1,50294,51670,45070
1,64,1,0,0,6.8,0,26580,27027,44743
0,21,0,1,1,13.0,0,23876,24077,43754
1,29,0,1,0,8.0,0,58971,57593,46156
1,24,0,0,1,7.0,1,37060,37245,42815
1,46,0,0,1,10.0,0,32568,31255,48235
1,59,0,0,0,12.0,0,59310,58819,41527
0,25,1,0,1,7.8,1,33618,32908,32772
0,55,0,1,0,9.0,0,31397,30446,36526
1,26,1,1,1,8.8,0,41081,41059,47736
0,27,0,0,1,10.0,0,49196,49544,36194
0,57,0,0,1,9.0,0,40245,41541,40918
1,39,0,0,1,9.0,0,28201,29614,41130
1,36,1,0,1,6.8,1,41581,41086,39403
1,28,0,1,1,9.0,0,46589,46563,33112
0,42,1,0,1,6.8,0,38689,38540,39637
0,34,0,0,1,11.0,0,51734,51836,42577
1,25,0,1,1,7.0,0,41444,41042,43410
1,57,0,0,0,9.0,0,47175,49271,39479
0,53,1,0,0,11.8,0,21503,20521,43301
1,40,0,0,1,11.0,0,34073,33450,56373
0,43,0,0,1,9.0,0,45832,45424,47752
1,45,0,1,1,8.0,1,48901,50437,44649
0,52,0,0,0,11.0,0,29515,26634,46115
0,45,1,0,1,6.8,0,40676,39145,39671
0,35,1,1,1,7.8,0,43142,43241,37407
1,20,0,0,1,9.0,0,55000,54547,42138
0,51,0,1,0,9.0,0,38409,38521,44533
0,40,0,1,0,9.0,1,54129,53351,39332
0,28,1,0,1,6.8,1,25167,24009,50218
1,34,1,0,1,10.8,0,53087,52649,39453
0,43,0,0,0,8.0,0,28204,28442,36908
1,58,0,0,0,7.0,0,40209,40709,42327
1,45,1,0,1,6.8,0,31965,31354,41510
1,24,1,0,1,7.8,0,40600,40365,45118
0,32,1,0,1,6.8,0,23756,24621,43475
1,48,0,0,0,9.0,0,32297,31350,40972
1,31,0,0,0,7.0,0,42678,42762,46032
0,26,0,0,1,13.0,0,57602,56315,43128
0,51,0,0,1,11.0,0,45616,43790,44113
1,45,0,0,0,12.0,0,26958,26159,44978
0,46,0,0,0,11.0,1,41918,41202,49810
0,21,0,1,1,13.0,0,34997,35438,43707
0,26,0,0,1,10.0,0,42189,40902,35700
0,39,1,0,1,6.8,0,32090,33118,40173
1,55,1,0,0,6.8,0,32691,34101,46753
1,61,0,1,0,9.0,0,25870,24416,48187
0,29,1,0,0,8.8,0,33432,34583,42510
1,42,0,0,1,9.0,0,50022,50240,40175
1,21,0,0,1,8.0,1,24441,24514,40927
0,45,0,0,0,8.0,0,46752,46448,34171
0,62,1,0,0,11.8,0,37765,36554,41648
1,59,1,0,0,6.8,0,36109,38341,40664
0,57,0,0,0,7.0,0,44787,44363,42178
1,52,0,1,0,9.0,0,55588,56261,45916
1,32,0,0,0,12.0,0,49264,49217,38607
1,56,0,0,1,7.0,0,43163,42081,44723
1,53,0,1,1,11.0,0,27896,26831,32118
1,62,0,0,0,7.0,0,53027,53844,42982
0,30,0,0,1,11.0,0,45848,45910,37420
1,20,0,0,1,12.0,1,31340,31546,42224
1,40,0,1,1,12.0,0,59683,60485,43692
1,61,0,1,0,11.0,0,37259,39256,38966
1,39,0,0,1,12.0,0,28503,30210,45652
1,53,1,0,0,10.8,0,40257,40298,50645
1,25,1,0,1,12.8,0,34691,34589,48930
1,50,0,1,0,11.0,1,29594,30565,49943
1,32,1,0,1,7.8,0,58376,57418,39491
1,34,1,0,0,8.8,0,46701,45912,42791
0,23,1,0,1,11.8,0,29496,30139,40479
1,54,1,0,0,8.8,0,59023,60242,42451
0,61,1,1,0,11.8,0,28178,27889,39229
1,29,0,1,1,9.0,1,46537,46496,39324
0,64,1,1,0,12.8,0,58220,58831,48910
1,62,1,0,0,11.8,0,58478,58514,41303
1,50,1,0,0,8.8,0,32089,32796,43182
1,55,1,0,1,10.8,0,54217,53346,41686
0,36,0,0,1,11.0,0,59545,57996,40781
1,56,0,0,0,8.0,0,23362,23126,48350
0,18,0,1,1,7.0,1,42216,42754,45936
1,35,0,0,1,10.0,0,56135,57497,44919
1,39,0,0,0,7.0,0,32871,31931,42228
1,45,1,0,1,8.8,0,52717,53352,38146
0,36,0,0,1,7.0,0,47588,46916,33919
